21489.070.000.00.00;RAINHA MARGARIDA NINA SALMON PINK 70 CM 
21489.060.000.00.00;RAINHA MARGARIDA NINA SALMON PINK 60 CM 
21489.050.000.00.00;RAINHA MARGARIDA NINA SALMON PINK 50 CM 
21489.040.000.00.00;RAINHA MARGARIDA NINA SALMON PINK 40 CM 
20238.012.015.00.70;CALATHEA P12 VARIADO PREMIUM            
21030.012.000.99.53;PHAL P12 3 H HALIFAX  SEMIALBA          
21138.040.000.00.00;MONSTERA P40 THAI CONSTELLATION         
21485.014.000.00.00;ZAMIOCULCAS P14 CHAMELEON               
21484.017.000.00.70;ANTHURIUM MELODIA P17 PREMIUM           
04298.221.000.00.00;CACTUS RABO DE MACACO C21               
00556.017.000.00.00;CALADIUM VARIADO P17                    
21477.070.000.00.00;RAINHA MARGARIDA MATSUMOTO YELLOW 070   
21477.060.000.00.00;RAINHA MARGARIDA MATSUMOTO YELLOW 060   
21477.050.000.00.00;RAINHA MARGARIDA MATSUMOTO YELLOW 050   
21477.040.000.00.00;RAINHA MARGARIDA MATSUMOTO YELLOW 040   
20684.009.000.00.31;ALBUCA P09 SPIRALIS SEM FLOR            
01602.154.000.00.00;ORQUIDEA VANDA CESTA VAZADA             
07541.012.000.00.31;ORQUIDEA BAUNILHA P12 SEM FLOR          
07408.012.000.31.00;DENDROBIUM NOBILY P12 SEM FLOR          
20391.221.000.00.00;MANDEVILLA ROSE QUEEN C21               
06741.999.000.00.75;BUQUE LUMIERE DECORADO                  
00613.040.000.00.03;CELOSIA PERSIMMON CHIEF LARANJA 40      
21458.014.500.30.74;TUIA HOLANDESA P14 COL NEVE GLITTER     
21458.009.500.30.74;TUIA HOLANDESA P09 COL NEVE GLITTER     
21452.040.000.00.00;GOIVO ANTIQUE ROSE 040                  
20043.080.000.00.13;GIRASSOL ZIGGY 080 CM BICOLOR           
20043.070.000.00.13;GIRASSOL ZIGGY 070 CM BICOLOR           
20043.060.000.00.13;GIRASSOL ZIGGY 060 CM BICOLOR           
20043.050.000.00.13;GIRASSOL ZIGGY 050 CM BICOLOR           
20043.040.000.00.13;GIRASSOL ZIGGY 040 CM BICOLOR           
00505.040.000.00.07;GOIVO DOBRADO ROSE 040                  
00505.060.000.00.07;GOIVO DOBRADO ROSE 060                  
00505.050.000.00.07;GOIVO DOBRADO ROSE 050                  
21452.060.000.00.00;GOIVO ANTIQUE ROSE 060                  
21452.050.000.00.00;GOIVO ANTIQUE ROSE 050                  
68287.000.000.00.00;ICMS DE PRODUTOR RURAL EM TRANSFERENCIA 
06835.060.000.23.0 ;LIRIO ORIENTAL METROPOLITAN 070 CM      
06835.080.000.23.30;LIRIO ORIENTAL METROPOLITAN 060 23      
02754.070.000.00.00;CELOSIA RED CHIEF 070 CM VERMELHO       
